Date,AAPL,ABNB,ADBE,ADI,ADP,ADSK,AEP,AMAT,AMD,AMGN,AMZN,ANSS,ASML,AVGO,AZN,BIIB,BKNG,BKR,CCEP,CDNS,CDW,CEG,CHTR,CMCSA,COST,CPRT,CRWD,CSCO,CSGP,CSX,CTAS,CTSH,DASH,DDOG,DLTR,DXCM,EA,EXC,FANG,FAST,FTNT,GEHC,GFS,GILD,GOOG,GOOGL,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KHC,KLAC,LIN,LRCX,LULU,MAR,MCHP,MDB,MDLZ,MELI,META,MNST,MRNA,MRVL,MSFT,MU,NFLX,NVDA,NXPI,ODFL,ON,ORLY,PANW,PAYX,PCAR,PDD,PEP,PYPL,QCOM,REGN,ROP,ROST,SBUX,SIRI,SNPS,TEAM,TMUS,TSLA,TTD,TTWO,TXN,VRSK,VRTX,WBA,WBD,WDAY,XEL,ZS
2021-03-01,125.42951202392578,196.4199981689453,469.57000732421875,150.1660919189453,166.1787109375,284.2699890136719,67.97233581542969,119.19153594970703,86.38999938964844,204.7996826171875,157.3070068359375,346.1099853515625,565.1846313476562,448.4855651855469,44.94536590576172,273.239990234375,2314.576904296875,22.90325927734375,47.27113723754883,147.44000244140625,155.2796173095703,,619.6799926757812,50.14487075805664,317.0445251464844,27.454999923706055,223.39999389648438,41.64120101928711,81.5,29.82418441772461,334.1261901855469,71.15756225585938,168.88999938964844,97.61000061035156,99.2300033569336,99.1675033569336,134.80470275878906,24.839628219604492,62.37434387207031,44.616390228271484,34.652000427246094,,,54.59727478027344,104.07550048828125,103.48300170898438,193.1254425048828,538.1699829101562,446.5,57.55294418334961,398.313720703125,253.07000732421875,28.684162139892578,32.28850555419922,313.8197021484375,240.06031799316406,576.7779541015625,314.8299865722656,145.70945739746094,75.197265625,395.0400085449219,49.831233978271484,1713.280029296875,264.6292419433594,43.775001525878906,157.39999389648438,48.80363082885742,230.43209838867188,93.06647491455078,550.6400146484375,138.09976196289062,177.0771026611328,107.72677612304688,42.27000045776367,451.2300109863281,122.46333312988281,84.88391876220703,55.256927490234375,186.14999389648438,119.24568176269531,273.6300048828125,129.91651916503906,463.04998779296875,377.89837646484375,116.14144134521484,99.64933013916016,5.4735941886901855,254.1699981689453,251.5,122.54469299316406,239.47666931152344,83.23400115966797,187.4499969482422,162.21127319335938,163.58917236328125,210.3800048828125,41.02192687988281,58.18000030517578,252.8000030517578,53.54477310180664,210.16000366210938
2021-03-02,122.80884552001953,189.89999389648438,466.5899963378906,146.094482421875,163.78199768066406,277.9200134277344,67.74195098876953,114.56037139892578,84.12999725341797,203.5819091796875,154.72650146484375,336.3299865722656,545.4169921875,440.17694091796875,44.608909606933594,269.8500061035156,2276.384521484375,22.34397315979004,47.19017791748047,142.14999389648438,151.9239501953125,,616.0700073242188,49.96068572998047,313.8813781738281,27.392499923706055,222.10000610351562,41.278472900390625,79.01699829101562,29.577064514160156,331.72344970703125,71.27165985107422,160.58999633789062,93.51000213623047,98.94999694824219,97.97750091552734,134.52935791015625,24.839628219604492,60.130348205566406,43.70510482788086,34.66999816894531,,,55.07804489135742,103.79199981689453,103.2239990234375,193.4626007080078,529.469970703125,441.010009765625,56.0518913269043,393.74664306640625,250.0,28.58201789855957,32.488731384277344,298.25341796875,242.4657745361328,552.2643432617188,317.4700012207031,146.18052673339844,72.3387222290039,379.92999267578125,49.84980392456055,1642.4100341796875,258.7254943847656,43.439998626708984,146.80999755859375,47.13806915283203,227.44638061523438,89.46204376220703,547.8200073242188,133.7547607421875,172.32162475585938,108.74870300292969,40.43000030517578,451.3599853515625,118.22000122070312,84.32568359375,55.52812957763672,175.52000427246094,119.65650939941406,269.19000244140625,127.6346435546875,454.8599853515625,374.1382751464844,113.3190689086914,99.95703125,5.437224864959717,247.8699951171875,244.39999389648438,121.43399047851562,228.81333923339844,79.79100036621094,188.1699981689453,159.6731414794922,162.9428253173828,212.05999755859375,40.67042922973633,59.2400016784668,247.9600067138672,53.39088821411133,202.61000061035156
2021-03-03,119.80536651611328,180.39999389648438,448.45001220703125,141.9755859375,163.36070251464844,269.29998779296875,67.62676239013672,112.5519027709961,80.86000061035156,202.0033721923828,150.25,319.8599853515625,526.4918212890625,424.191650390625,44.0761833190918,266.6000061035156,2269.193115234375,22.426488876342773,46.002777099609375,133.74000549316406,150.5314178466797,,601.02001953125,49.4818000793457,309.5428466796875,26.752500534057617,210.6199951171875,40.9248161315918,76.27999877929688,29.233667373657227,325.8233642578125,69.56952667236328,148.25,90.0,101.87999725341797,92.17500305175781,130.82247924804688,24.97864532470703,63.39191818237305,42.756996154785156,33.97600173950195,,,54.85076904296875,101.33550262451172,100.57050323486328,193.8652801513672,498.0199890136719,416.4100036621094,54.82540512084961,380.96636962890625,242.38333129882812,28.433441162109375,33.06329345703125,292.4678039550781,236.29942321777344,530.948486328125,295.989990234375,143.58958435058594,70.56936645507812,352.04998779296875,49.162601470947266,1528.0,255.13929748535156,42.29999923706055,131.22000122070312,44.900909423828125,221.3096923828125,87.5174331665039,520.7000122070312,127.75357055664062,166.38438415527344,108.91983795166016,39.68000030517578,454.5,114.586669921875,82.80645751953125,56.15309143066406,168.75,117.8945541381836,255.05999755859375,123.20831298828125,446.7300109863281,373.6473693847656,106.97109985351562,99.04322814941406,5.355393409729004,236.92999267578125,227.67999267578125,117.85393524169922,217.73333740234375,69.59300231933594,180.14999389648438,155.7472686767578,161.40524291992188,208.44000244140625,40.833316802978516,61.45000076293945,236.6999969482422,52.53091049194336,187.8300018310547
2021-03-04,117.91101837158203,180.22999572753906,439.05999755859375,136.84347534179688,160.1026611328125,265.44000244140625,68.45083618164062,105.53202819824219,77.75,200.17221069335938,148.8784942626953,306.1600036621094,494.4336853027344,406.35595703125,44.14160919189453,263.57000732421875,2213.685302734375,22.03223991394043,45.64295959472656,128.80999755859375,146.45040893554688,,607.6400146484375,49.66598892211914,304.8795471191406,26.02750015258789,192.99000549316406,40.407928466796875,75.84600067138672,28.325429916381836,316.54205322265625,68.84683227539062,150.0,85.0,101.80999755859375,89.06749725341797,129.0919647216797,25.130298614501953,69.1997299194336,40.658260345458984,32.7859992980957,,,55.27035140991211,102.45449829101562,101.69650268554688,190.0537109375,485.8500061035156,399.6099853515625,53.3884162902832,368.8329772949219,236.38999938964844,28.67487335205078,32.39296340942383,276.8822021484375,235.27362060546875,509.3533935546875,285.1400146484375,142.0782470703125,66.63114929199219,328.2900085449219,50.10982894897461,1458.6400146484375,257.366943359375,42.34000015258789,132.3000030517578,39.5198974609375,220.5024871826172,82.82286834716797,511.2900085449219,123.41852569580078,158.1497344970703,105.13530731201172,37.040000915527344,450.260009765625,111.87999725341797,81.73567962646484,54.478660583496094,158.39999389648438,118.55067443847656,239.07000732421875,119.5960922241211,449.3800048828125,365.1060791015625,107.90547180175781,97.8031005859375,5.264469623565674,229.8000030517578,225.44000244140625,117.6258544921875,207.14666748046875,64.01599884033203,174.02999877929688,149.04592895507812,158.31053161621094,207.7899932861328,40.17319107055664,62.599998474121094,230.35000610351562,53.33656692504883,180.89999389648438
2021-03-05,119.17718505859375,179.80999755859375,440.8299865722656,140.97186279296875,166.89024353027344,267.3900146484375,69.91290283203125,110.61168670654297,78.5199966430664,205.422119140625,150.0229949951172,308.0299987792969,510.4530944824219,412.356201171875,44.917327880859375,270.7099914550781,2301.211181640625,22.32563591003418,47.57698059082031,126.69000244140625,149.39027404785156,,624.030029296875,50.7342643737793,303.2358703613281,26.59749984741211,183.1199951171875,41.94045639038086,79.86900329589844,29.406970977783203,328.7685852050781,70.09252166748047,151.47999572753906,82.19999694824219,104.08000183105469,91.02249908447266,130.38003540039062,25.291723251342773,72.61457061767578,41.58796310424805,33.513999938964844,,,56.48536682128906,105.427001953125,104.85350036621094,193.4626007080078,499.70001220703125,398.8500061035156,55.594242095947266,374.5958251953125,237.7899932861328,29.278457641601562,32.95012664794922,284.8242492675781,237.40185546875,527.5484619140625,293.239990234375,144.18826293945312,69.17576599121094,308.1700134277344,51.61423873901367,1470.239990234375,263.9998779296875,43.209999084472656,132.19000244140625,40.90950012207031,225.2387237548828,87.34066009521484,516.3900146484375,124.32894134521484,171.0264129638672,107.49696350097656,38.810001373291016,465.8500061035156,111.57666778564453,84.30736541748047,55.51044464111328,156.82000732421875,122.41553497314453,239.0500030517578,121.42090606689453,461.57000732421875,370.0639953613281,108.9747085571289,98.09215545654297,5.355393409729004,227.8000030517578,228.2100067138672,123.6454849243164,199.31666564941406,65.41699981689453,170.80999755859375,153.32785034179688,164.64686584472656,211.97999572753906,40.46467208862305,64.25,237.02000427246094,55.53629684448242,175.3699951171875
2021-03-08,114.21063232421875,180.80999755859375,421.20001220703125,136.40786743164062,168.9124755859375,253.10000610351562,71.32177734375,103.03607940673828,73.95999908447266,205.4942626953125,147.59750366210938,293.54998779296875,486.3851623535156,385.8910827636719,45.0388298034668,270.010009765625,2362.69384765625,22.307296752929688,47.747901916503906,119.68000030517578,150.02854919433594,,612.3800048828125,51.09342956542969,297.59771728515625,25.997499465942383,179.75,43.08304977416992,79.23100280761719,29.69580841064453,329.9795837402344,69.1225814819336,133.41000366210938,77.5199966430664,108.06999969482422,88.01499938964844,125.08026123046875,25.961658477783203,71.6778335571289,41.10929870605469,33.242000579833984,,,56.5989990234375,101.20850372314453,100.375,194.511474609375,482.6000061035156,383.6199951171875,54.779640197753906,363.040771484375,228.3000030517578,30.151334762573242,33.66396713256836,263.8092041015625,243.19212341308594,484.117431640625,288.94000244140625,147.64280700683594,65.04253387451172,287.04998779296875,51.21492385864258,1369.5400390625,255.03939819335938,42.56999969482422,123.47000122070312,39.480472564697266,221.1443634033203,83.5300064086914,493.3299865722656,115.66636657714844,161.66676330566406,106.91021728515625,35.9900016784668,472.8999938964844,110.49333190917969,85.2957763671875,55.091827392578125,137.60000610351562,121.58737182617188,226.08999633789062,115.29136657714844,463.19000244140625,378.3500061035156,115.94879913330078,97.93363952636719,5.373577117919922,218.49000549316406,223.4199981689453,126.0057373046875,187.6666717529297,67.89399719238281,161.6199951171875,148.005126953125,168.10394287109375,213.5800018310547,41.56202697753906,67.25,231.07000732421875,56.0884895324707,167.83999633789062
2021-03-09,118.853271484375,183.11000061035156,439.17999267578125,141.4926300048828,171.3840789794922,263.9700012207031,71.41924285888672,111.36243438720703,78.52999877929688,206.55865478515625,153.1425018310547,308.0,522.5403442382812,406.3651123046875,46.048213958740234,266.489990234375,2360.748779296875,21.95888900756836,48.449546813964844,127.30000305175781,149.38059997558594,,614.77001953125,51.17631149291992,304.63104248046875,26.577499389648438,199.10000610351562,43.42763900756836,81.49700164794922,29.76321029663086,335.0562438964844,70.73916625976562,141.47999572753906,82.0,107.58999633789062,90.73500061035156,128.7379913330078,26.49760627746582,69.00386047363281,42.05741882324219,35.15399932861328,,,56.231876373291016,102.63500213623047,102.01799774169922,194.42718505859375,493.57000732421875,400.8599853515625,57.36073684692383,376.91864013671875,234.26666259765625,30.727060317993164,34.064414978027344,283.120361328125,251.4940948486328,523.5126342773438,298.3500061035156,144.26678466796875,69.18528747558594,311.9200134277344,51.6513786315918,1452.010009765625,265.4583435058594,44.220001220703125,130.8699951171875,43.22549819946289,227.35885620117188,87.70404052734375,506.44000244140625,124.95820617675781,173.78701782226562,109.43811798095703,37.93000030517578,464.9200134277344,114.13999938964844,86.5312728881836,56.1472053527832,154.17999267578125,121.69778442382812,241.75999450683594,120.82199096679688,470.6300048828125,382.5617370605469,120.38945770263672,99.35094451904297,5.428132057189941,228.39999389648438,233.0500030517578,125.26195526123047,224.52667236328125,71.93199920654297,168.57000732421875,155.53729248046875,170.8167266845703,214.0399932861328,41.54487228393555,63.0099983215332,245.9199981689453,56.26049041748047,181.42999267578125
2021-03-10,117.76378631591797,183.7899932861328,437.010009765625,139.29586791992188,170.45721435546875,263.6400146484375,71.95092010498047,109.86095428466797,77.5199966430664,207.43365478515625,152.8820037841797,310.0899963378906,506.85986328125,400.8595886230469,46.55290222167969,262.6099853515625,2363.2724609375,22.353137969970703,48.467533111572266,126.87999725341797,151.28570556640625,,629.0700073242188,52.686641693115234,309.4569396972656,27.167499542236328,194.86000061035156,43.79037094116211,80.81199645996094,30.036001205444336,342.0317077636719,72.2891616821289,135.77000427246094,80.69999694824219,107.83000183105469,89.09750366210938,127.94154357910156,26.708160400390625,68.9272232055664,42.4808464050293,36.09199905395508,,,55.864742279052734,102.75150299072266,101.80950164794922,199.39065551757812,488.7799987792969,399.45001220703125,56.976318359375,375.1937255859375,239.93666076660156,31.163496017456055,34.39522171020508,272.8678894042969,254.65765380859375,499.61553955078125,309.0,144.40415954589844,67.21617126464844,294.45001220703125,52.18071365356445,1435.5699462890625,264.6192321777344,44.70000076293945,129.75,42.22026443481445,226.0362091064453,83.8835678100586,504.5400085449219,124.43922424316406,170.58204650878906,110.46981811523438,37.54999923706055,473.8999938964844,111.5633316040039,86.6685562133789,56.94906234741211,148.13999938964844,122.92166137695312,242.07000732421875,119.6615982055664,467.95001220703125,379.0175476074219,117.10469818115234,100.49784851074219,5.509963512420654,228.83999633789062,225.69000244140625,126.35283660888672,222.68666076660156,72.26100158691406,164.82000732421875,154.6790771484375,171.2476043701172,214.2899932861328,43.31092071533203,65.81999969482422,242.7100067138672,56.28764343261719,180.07000732421875
2021-03-11,119.70721435546875,197.8699951171875,451.05999755859375,143.00767517089844,170.8524627685547,274.3599853515625,70.88760375976562,114.25812530517578,81.2300033569336,208.52511596679688,155.67950439453125,322.6400146484375,527.2667846679688,415.608154296875,45.48744583129883,267.44000244140625,2356.03076171875,22.151432037353516,48.026756286621094,130.1300048828125,154.71871948242188,,624.22998046875,52.39194869995117,314.06298828125,27.579999923706055,205.8000030517578,44.25285720825195,81.72899627685547,30.109813690185547,348.81341552734375,73.73455047607422,144.97000122070312,86.23999786376953,108.56999969482422,91.69499969482422,129.14109802246094,26.81662368774414,71.56712341308594,42.6833610534668,37.50600051879883,,,55.14796829223633,105.7385025024414,105.0270004272461,199.0066680908203,502.94000244140625,412.8900146484375,57.9465217590332,391.2179870605469,244.0,30.922060012817383,33.832374572753906,285.29595947265625,256.3161926269531,515.6914672851562,310.3399963378906,146.06275939941406,70.49327087402344,327.260009765625,52.255008697509766,1570.780029296875,273.5897216796875,44.67499923706055,140.47000122070312,45.63020324707031,230.6168212890625,87.71385955810547,523.0599975585938,129.68148803710938,178.21157836914062,112.29850769042969,38.79999923706055,474.3500061035156,114.79000091552734,87.08954620361328,57.632991790771484,162.39999389648438,122.59037780761719,253.8300018310547,123.28315734863281,469.9599914550781,380.3724670410156,116.43040466308594,100.06890869140625,5.582702159881592,234.25999450683594,235.8000030517578,124.94461059570312,233.1999969482422,75.6500015258789,170.61000061035156,159.72793579101562,169.63169860839844,215.14999389648438,44.16822052001953,66.97000122070312,257.2699890136719,55.99797058105469,188.8699951171875
2021-03-12,118.79436492919922,206.74000549316406,444.29998779296875,141.5968017578125,171.99111938476562,268.1099853515625,71.80915069580078,111.43067932128906,81.05000305175781,207.79446411132812,154.47450256347656,316.8800048828125,520.7098388671875,413.2996826171875,45.253787994384766,266.1300048828125,2394.911376953125,22.34397315979004,48.854339599609375,125.73999786376953,154.7864227294922,,624.1500244140625,52.576141357421875,316.4424743652344,27.487499237060547,199.0,44.27097702026367,81.8550033569336,30.119443893432617,347.1180114746094,73.95326232910156,142.02999877929688,83.0,108.61000061035156,89.43250274658203,128.3053436279297,27.17392349243164,69.83841705322266,43.401344299316406,37.66999816894531,,,54.423038482666016,103.09600067138672,102.5,200.767333984375,497.75,405.1199951171875,57.57125473022461,388.0621032714844,244.663330078125,30.987064361572266,33.51577377319336,283.2839660644531,257.3994445800781,505.5102233886719,306.0799865722656,147.40724182128906,70.13178253173828,320.05999755859375,52.81218719482422,1550.1500244140625,268.1155090332031,44.470001220703125,136.99000549316406,46.4777717590332,229.27474975585938,86.20138549804688,518.02001953125,128.30917358398438,173.97573852539062,114.32279205322266,38.4900016784668,482.6400146484375,114.17666625976562,87.17190551757812,57.161312103271484,161.05999755859375,122.42474365234375,250.35000610351562,121.63613891601562,471.4599914550781,379.3219299316406,118.11614227294922,100.52581787109375,5.600887298583984,229.4499969482422,229.25999450683594,126.06524658203125,231.2433319091797,75.12200164794922,170.25,158.46800231933594,168.49378967285156,214.3300018310547,45.617069244384766,71.0999984741211,252.72999572753906,56.616302490234375,184.61000061035156
