Ticker,Optimal Weights (%)
AAPL,7.044310896300125e-16
ABNB,0.0
ADBE,0.0
ADI,1.313918765208351e-15
ADP,0.0
ADSK,6.0741771062044425e-15
AEP,2.7213423596215716
AMAT,5.73505230792336e-16
AMD,2.4272919029112005e-15
AMGN,7.633052773464014
AMZN,0.0
ANSS,0.0
ASML,0.0
AVGO,0.0
AZN,8.058781104224083
BIIB,0.0
BKNG,0.0
BKR,1.2915580799493362
CCEP,3.671827772699522e-15
CDNS,3.675919031621291e-15
CDW,2.0145535891642506e-17
CHTR,0.0
CMCSA,0.0037427698369743843
COST,4.905710013713239e-15
CPRT,7.372682411933957e-16
CRWD,0.0
CSCO,0.0
CSGP,8.312818080612896e-16
CSX,0.0
CTAS,0.0
CTSH,1.5202097729183374e-15
DASH,0.0
DDOG,0.0
DLTR,0.0
DXCM,0.0
EA,13.621046274037903
EXC,1.122914081149013e-15
FANG,2.869578236499158
FAST,4.0694938527762404e-15
FTNT,0.0
GILD,4.379832369106523
GOOG,0.0
GOOGL,0.0
HON,1.9533500501921215
IDXX,1.2271224123438098e-15
ILMN,0.0
INTC,0.0
INTU,6.956630389303973e-15
ISRG,4.991528330943199e-15
KDP,10.932016634101824
KHC,9.760161352257915
KLAC,2.838497156365746e-15
LIN,0.0
LRCX,1.9239910869091248e-15
LULU,3.080095234162267e-16
MAR,0.37760098661060504
MCHP,0.0
MDB,2.7999274081399376e-17
MDLZ,1.012187131321707
MELI,2.868886591898853e-16
META,6.358905571489926e-16
MNST,0.0
MRNA,1.5545888973802003e-15
MRVL,5.715373893929421e-15
MSFT,2.6439800390929508e-15
MU,8.396055409905972e-16
NFLX,2.1299929415030754e-15
NVDA,4.539689470216859e-15
NXPI,0.0
ODFL,8.141003186239163e-16
ON,0.0
ORLY,8.303559720125572
PANW,1.5010538099072006
PAYX,0.0
PCAR,0.5276971806492644
PDD,0.13221623278118225
PEP,11.499030280103915
PYPL,3.5496411928367604e-16
QCOM,0.0
REGN,3.3017207734089964
ROP,4.213231470203721
ROST,2.5354194755908325e-15
SBUX,1.2276722237846859e-15
SIRI,0.0
SNPS,1.986058463729117e-17
TEAM,2.98201076232343e-15
TMUS,1.4289001015599034
TSLA,0.0
TTD,0.0
TTWO,1.2569966243209072
TXN,7.948513067977602e-16
VRSK,0.0
VRTX,0.8986057219438449
WBA,0.0
WBD,2.7855588997252366e-16
WDAY,3.164362531926112e-16
XEL,2.322737963771772
ZS,5.980250573915446e-16
